objectid,filename,title,format,description,creator,editor,date,date-is-approximate?,item_information,subject,location,latitude,longitude,publisher,source,identifier,rights,rightsstatement,type,language,relation
pn_1964_sb_11,,You Are Invited to Meet Eudora Welty,,,,,12/4/1964,no,3,Shoe Bird;Advertisement,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1965_sb_12,,You are Invited to an Autograph Party,,,,,4/4/1965,no,63,Shoe Bird;Advertisement,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_13,,Jackson Ballet Guild to Present World Premiere of The Shoe Bird,,,,,1/21/1968,no,32,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_14,,Jackson Ballet Guild Seeks Donors' Support,,,,,1/28/1968,no,46,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_15,,The Shoe Bird' Premiere Scheduled for April 20,,,,,3/6/1968,no,12,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_16,,Shoe Bird Ticket Sales Announced,,,,,3/21/1968,no,63,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_17,,Ballet Guild Starts Ticket Sale for Event / Mrs. Williams is Honorary Chairman of World Premiere,,,,,4/7/1968,no,47,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_18,,Engel Not Missing Broadway Theater,,,Earl Wilson,,4/8/1968,no,6,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_19,,"Attend the Jackson Ballet Guild Presentation World Premiere ""The Shoe Bird""",,,,,4/11/1968,no,38,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_20,,Scene from Eudora Welty's 'Shoe Bird',,,Claude Sutherland,,4/14/1968,no,31,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_21,,"Attend the Jackson Ballet Guild Presentation World Premiere ""The Shoe Bird""",,,,,4/14/1968,no,40,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_22,,"Witty, Wise and Rewarding' - That is Description of Coming Ballet",,,,,4/14/1968,no,46,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_23,,The Shoe Bird' Ballet Began in a Quiet Kitchen,,,Sylvia Scott,,4/14/1968,no,58,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_24,,Candidate Petitions Due on Wednesday,,,Louise Hardy,,4/15/1968,no,5,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_25,,Welty's 'Shoe Bird' to Premiere as Ballet,,,,,4/15/1968,no,15,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_26,,"Miss Welty, Mr. Engel Will Share Spotlight",,,,,4/15/1968,no,25,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Jackson Daily News,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_27,,Lehman Engel Composes Musical Score for Ballet,,,,,4/16/1968,no,12,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_28,,Supporting the Ballet,,,,,4/18/1968,no,14,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_29,,Willing Workers,,,,,4/18/1968,no,14,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_30,,Manuscript of 'Shoe Bird' Given Archives,,,,,4/19/1968,no,14,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_31,,Talented Jacksonians,,,,,4/19/1968,no,17,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_32,,Program Girls for the Ballet,,,,,4/19/1968,no,17,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_33,,Jackson Honors Her Own with Premiere of Ballet,,,Jean Culbertson,,4/21/1968,no,12,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_34,,Ballet World Premiere Followed by Reception,,,,,4/23/1968,no,13,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_35,,Old Capital Collection on Display at Festival,,,,,4/25/1968,no,53,"Shoe Bird;Photographs, Exhibit","Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1968_sb_36,,"Second World Premiere; Charming 'Shoe Bird""",,,Louis Dollarhide,,4/28/1968,no,54,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1969_sb_37,,Mrs. Cecil E. Inman Jr. Designs Ballet Costumes,,,,,3/11/1969,no,11,Shoe Bird;Ballet,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1971_sb_38,,"Old Shoes, Old Book Displayed",,,,,9/12/1971,no,3,Shoe Bird;Exhibit,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1993_sb_39,,Children's Book by Eudora Welty will be Reprinted,,,,,6/18/1993,no,16,Shoe Bird,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1993_sb_40,,Ask Jack Sunn,,,,,10/7/1993,no,22,Shoe Bird,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1993_sb_41,,Welty's 'Shoe Bird' Soars a Wider Sky with New Edition,,,Leslie R. Myers,,11/14/1993,no,68,Shoe Bird;Review,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1993_sb_42,,Ms. Welty's Only Book Written for Children,,,,,12/24/1993,no,6,Shoe Bird;Advertisement,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_2001_sb_43,,Choir Auditions,,,,,6/3/2001,no,14,"Shoe Bird;Boychoir, Symphony","Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_2001_sb_44,,Choir Auditions,,,,,5/9/2001,no,64,"Shoe Bird;Boychoir, Symphony","Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_2002_sb_45,,Student Center Dedication Set,,,Andy Kanengiser,,1/30/2002,no,14,Shoe Bird;Cafe,"Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_2002_sb_46,,"Music, Literature Come Together for Miss. Boychoir Concerts",,,Julie Whitehead,,3/17/2002,no,63,"Shoe Bird;Boychoir, Symphony","Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_2002_sb_47,,Eudora's Fable The Shoe Bird,,,,,3/17/2002,no,67,"Shoe Bird;Boychoir, Symphony","Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_2012_sb_48,,Birthday Celebration at Welty House,,,,,4/12/2012,no,26,"Shoe Bird;Boychoir, Symphony","Jackson, Mississippi",32.298756,-90.184807,Clarion-Ledger,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1967_sb_49,,Welty's 'Shoe Bird' Chosen for Review,,,,,4/23/1967,no,86,Shoe Bird;Book Club,"Memphis, Tennessee",35.1406175,-90.0536592,Commercial Appeal,Genealogy Bank,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_2002_sb_50,,Stage Scene,,,,,10/25/2002,no,63,Shoe Bird;Symphony,"Memphis, Tennessee",35.1406175,-90.0536592,Commercial Appeal,Genealogy Bank,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1965_sb_51,,Book Week Winners,,,,,11/22/1965,no,1,Shoe Bird;Library,"Fredericton, New Brunswick, Canada",45.92107922,-66.63669265,Daily Gleaner,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1964_sb_52,,Books - The Gates to a Wonderous World,,,Virginia McManis,,12/9/1964,no,63,Shoe Bird;Review,"Detroit, Michigan",42°19′42.4″N,83°3′17.7″W,Detroit News,Genealogy Bank,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1965_sb_53,,Library Week Marked in Various Ways Here,,,Jo Anne Crossley,,4/29/1965,no,9,Shoe Bird;Library,"McComb, Mississippi",31.2058,-90.4009,Enterprise-Journal,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1993_sb_54,,Welty's Kid Book More than a Party for the Birds,,,Ernest Herndon,,11/3/1993,no,11,Shoe Bird;Review,"McComb, Mississippi",31.2058,-90.4009,Enterprise-Journal,Newspapers.com,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_2004_sb_55,,Dance Theatre of Oregon Presents The Shoe Bird,,,,,11/14/2004,no,G5,Shoe Bird;Theater,"Eugene, Oregon",44°03′01.82″ N,123°05′42.18″ W,Register-Guard,Google,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
pn_1964_sb_56,,Biggest News,,,,,10/31/1964,no,4,Shoe Bird;Review,"Greensboro, North Carolina",35.9913,-79.7617,Greensboro Record,Genealogy Bank,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,eng,
